Year,Group,Home_name,Home_seed,Away_name,Away_seed,Home_score,Away_score
2014,D,Bayern,1,CSKA.Moscow,2,3,0
2014,D,Plzen,4,Man.City,3,0,3
2014,D,CSKA.Moscow,2,Plzen,4,3,2
2014,D,Man.City,3,Bayern,1,1,3
2014,D,CSKA.Moscow,2,Man.City,3,1,2
2014,D,Bayern,1,Plzen,4,5,0
2014,D,Man.City,3,CSKA.Moscow,2,5,2
2014,D,Plzen,4,Bayern,1,0,1
2014,D,CSKA.Moscow,2,Bayern,1,1,3
2014,D,Man.City,3,Plzen,4,4,2
2014,D,Bayern,1,Man.City,3,2,3
2014,D,Plzen,4,CSKA.Moscow,2,2,1
2014,E,Schalke,2,Bucuresti,4,3,0
2014,E,Chelsea,1,Basel,3,1,2
2014,E,Basel,3,Schalke,2,0,1
2014,E,Bucuresti,4,Chelsea,1,0,4
2014,E,Bucuresti,4,Basel,3,1,1
2014,E,Schalke,2,Chelsea,1,0,3
2014,E,Basel,3,Bucuresti,4,1,1
2014,E,Chelsea,1,Schalke,2,3,0
2014,E,Bucuresti,4,Schalke,2,0,0
2014,E,Basel,3,Chelsea,1,1,0
2014,E,Schalke,2,Basel,3,2,0
2014,E,Chelsea,1,Bucuresti,4,1,0
2014,F,Marseille,2,Arsenal,1,1,2
2014,F,Napoli,4,Dortmund,3,2,1
2014,F,Dortmund,3,Marseille,2,3,0
2014,F,Arsenal,1,Napoli,4,2,0
2014,F,Arsenal,1,Dortmund,3,1,2
2014,F,Marseille,2,Napoli,4,1,2
2014,F,Dortmund,3,Arsenal,1,0,1
2014,F,Napoli,4,Marseille,2,3,2
2014,F,Arsenal,1,Marseille,2,2,0
2014,F,Dortmund,3,Napoli,4,3,1
2014,F,Marseille,2,Dortmund,3,1,2
2014,F,Napoli,4,Arsenal,1,2,0
2014,G,Wien,4,Porto,1,0,1
2014,G,At.Madrid,2,Zenit,3,3,1
2014,G,Zenit,3,Wien,4,0,0
2014,G,Porto,1,At.Madrid,2,1,2
2014,G,Porto,1,Zenit,3,0,1
2014,G,Wien,4,At.Madrid,2,0,3
2014,G,Zenit,3,Porto,1,1,1
2014,G,At.Madrid,2,Wien,4,4,0
2014,G,Zenit,3,At.Madrid,2,1,1
2014,G,Porto,1,Wien,4,1,1
2014,G,Wien,4,Zenit,3,4,1
2014,G,At.Madrid,2,Porto,1,2,0
2014,H,Milan,2,Celtic,4,2,0
2014,H,Barcelona,1,Ajax,3,4,0
2014,H,Ajax,3,Milan,2,1,1
2014,H,Celtic,4,Barcelona,1,0,1
2014,H,Celtic,4,Ajax,3,2,1
2014,H,Milan,2,Barcelona,1,1,1
2014,H,Ajax,3,Celtic,4,1,0
2014,H,Barcelona,1,Milan,2,3,1
2014,H,Celtic,4,Milan,2,0,3
2014,H,Ajax,3,Barcelona,1,2,1
2014,H,Milan,2,Ajax,3,0,0
2014,H,Barcelona,1,Celtic,4,6,1
2013,A,Zagreb,4,Porto,1,0,2
2013,A,PSG,3,Kyiv,2,4,1
2013,A,Kyiv,2,Zagreb,4,2,0
2013,A,Porto,1,PSG,3,1,0
2013,A,Porto,1,Kyiv,2,3,2
2013,A,Zagreb,4,PSG,3,0,2
2013,A,Kyiv,2,Porto,1,0,0
2013,A,PSG,3,Zagreb,4,4,0
2013,A,Porto,1,Zagreb,4,3,0
2013,A,Kyiv,2,PSG,3,0,2
2013,A,Zagreb,4,Kyiv,2,1,1
2013,A,PSG,3,Porto,1,2,1
2013,B,Montpellier,4,Arsenal,1,1,2
2013,B,Olympiacos,3,Schalke,2,1,2
2013,B,Schalke,2,Montpellier,4,2,2
2013,B,Arsenal,1,Olympiacos,3,3,1
2013,B,Arsenal,1,Schalke,2,0,2
2013,B,Montpellier,4,Olympiacos,3,1,2
2013,B,Schalke,2,Arsenal,1,2,2
2013,B,Olympiacos,3,Montpellier,4,3,1
2013,B,Arsenal,1,Montpellier,4,2,0
2013,B,Schalke,2,Olympiacos,3,1,0
2013,B,Montpellier,4,Schalke,2,1,1
2013,B,Olympiacos,3,Arsenal,1,2,1
2013,C,Malaga,4,Zenit,2,3,0
2013,C,Milan,1,Anderlecht,3,0,0
2013,C,Zenit,2,Milan,1,2,3
2013,C,Anderlecht,3,Malaga,4,0,3
2013,C,Zenit,2,Anderlecht,3,1,0
2013,C,Malaga,4,Milan,1,1,0
2013,C,Anderlecht,3,Zenit,2,1,0
2013,C,Milan,1,Malaga,4,1,1
